 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    1    0   -8.6034  -31.7118   23.1084    0.0000
    1    1  -12.7424  -33.5077   20.7654    0.0000
    1    2  -12.6137  -30.7616   18.1480    0.0000
    1    3  -12.6137  -30.7616   18.1480    0.0000
    1    4  -13.1742  -27.7750   14.6008    0.0000
    1    5  -12.1957  -31.3353   19.1396    0.0000
    1    6  -12.1957  -31.3353   19.1396    0.0000
    1    7  -12.1957  -31.3353   19.1396    0.0000
    1    8   -9.6059  -29.2912   19.6853    0.0000
    1    9  -10.6799  -30.7004   20.0205    0.0000
    1   10  -12.5637  -33.8288   21.2650    0.0000
    1   11   -8.9106  -30.8470   21.9364    0.0000
    1   12   -3.5485  -24.7648   21.2163    0.0000
    1   13   -4.1439  -24.7186   20.5747    0.0000
    1   14   -5.3614  -23.7881   18.4267    0.0000
    1   15   -6.6884  -27.6477   20.9593    0.0000
    1   16   -7.4967  -30.2237   22.7270    0.0000
    1   17   -6.5884  -28.9762   22.3878    0.0000
    1   18  -11.5472  -33.3439   21.7966    0.0000
    1   19  -11.5472  -33.3439   21.7966    0.0000
    1   20  -10.4174  -30.5554   20.1380    0.0000
    1   21   -9.9970  -27.6722   17.6752    0.0000
    1   22  -10.8582  -29.1713   18.3131    0.0000
    1   23  -10.8582  -29.1713   18.3131    0.0000
    1   24  -16.6210  -34.7987   18.1777    0.0000
    1   25  -17.2874  -35.0637   17.7763    0.0000
    1   26  -17.2874  -35.0637   17.7763    0.0000
    1   27  -18.4547  -40.1136   21.6589    0.0000
    1   28  -18.4547  -40.1136   21.6589    0.0000
    1   29  -17.6487  -37.7202   20.0715    0.0000
    1   30  -17.6487  -37.7202   20.0715    0.0000
    1   31  -14.2680  -35.4034   21.1354    0.0000
    1   32  -12.8031  -38.5791   25.7760    0.0000
    1   33  -12.3368  -33.7411   21.4043    0.0000
    1   34  -16.6912  -38.1678   21.4765    0.0000
    1   35  -20.3488  -41.3318   20.9831    0.0000
    1   36  -18.6912  -39.3474   20.6562    0.0000
    1   37  -19.5127  -39.8247   20.3119    0.0000
    1   38  -19.5127  -39.8247   20.3119    0.0000
    1   39  -17.2385  -41.6056   24.3671    0.0000
    1   40  -20.3701  -44.7596   24.3895    0.0000
    1   41  -20.3701  -44.7596   24.3895    0.0000
    1   42  -21.6836  -45.5522   23.8686    0.0000
    1   43  -20.1289  -46.6710   26.5422    0.0000
    1   44  -20.1289  -46.6710   26.5422    0.0000
    1   45  -20.1289  -46.6710   26.5422    0.0000
    1   46  -19.8058  -42.5487   22.7430    0.0000
    1   47  -22.3177  -46.9740   24.6563    0.0000
    1   48  -16.7897  -42.7499   25.9601    0.0000
    1   49  -22.9806  -46.6421   23.6615    0.0000
    1   50  -17.2149  -40.8268   23.6120    0.0000
    1   51  -15.9592  -40.0329   24.0737    0.0000
    1   52  -19.2223  -42.7408   23.5185    0.0000
    1   53  -17.9925  -42.6315   24.6390    0.0000
    1   54  -16.1363  -34.7533   18.6170    0.0000
    1   55  -16.9630  -35.3264   18.3634    0.0000
    1   56  -17.6434  -33.8150   16.1716    0.0000
    1   57  -17.5261  -34.0744   16.5483    0.0000
    1   58  -17.5261  -34.0744   16.5483    0.0000
    1   59  -16.6540  -33.5118   16.8578    0.0000
    1   60  -16.6540  -33.5118   16.8578    0.0000
    1   61   -7.3795  -20.8919   13.5124    0.0000
    1   62   -6.8789  -23.6608   16.7819    0.0000
    1   63  -11.7702  -25.5608   13.7906    0.0000
    1   64   -9.7855  -21.8874   12.1019    0.0000
    1   65  -13.9865  -28.1311   14.1446    0.0000
    1   66  -16.4701  -31.7828   15.3126    0.0000
    1   67  -16.4701  -31.7828   15.3126    0.0000
    1   68  -18.3539  -32.1828   13.8289    0.0000
    1   69  -17.1097  -31.0537   13.9440    0.0000
    1   70  -15.3863  -31.0648   15.6785    0.0000
    1   71  -10.4155  -27.6333   17.2177    0.0000
    1   72  -11.2929  -28.1051   16.8122    0.0000
    1   73   -8.7093  -24.4561   15.7468    0.0000
    1   74   -8.9567  -25.8368   16.8801    0.0000
    1   75  -17.0960  -32.1442   15.0482    0.0000
    2    0  -23.7880  -50.1096   26.3216    0.0000
    2    1  -19.2925  -42.3398   23.0473    0.0000
    2    2  -20.3624  -42.9409   22.5785    0.0000
    2    3  -19.5472  -41.3372   21.7900    0.0000
    2    4  -20.7445  -39.5067   18.7622    0.0000
    2    5  -18.6969  -36.2390   17.5421    0.0000
    2    6  -18.6969  -36.2390   17.5421    0.0000
    2    7  -21.3108  -39.0482   17.7374    0.0000
    2    8  -21.4529  -43.0582   21.6053    0.0000
    2    9  -17.0447  -37.7343   20.6896    0.0000
    2   10  -17.0472  -37.8515   20.8043    0.0000
    2   11  -19.8286  -40.4709   20.6423    0.0000
    2   12  -19.8286  -40.4709   20.6423    0.0000
    2   13  -19.6833  -39.2234   19.5401    0.0000
    2   14  -17.6181  -38.8818   21.2637    0.0000
    2   15  -14.5235  -37.3509   22.8275    0.0000
    2   16  -14.5235  -37.3509   22.8275    0.0000
    2   17  -17.2917  -38.5944   21.3027    0.0000
    2   18  -15.7661  -35.7606   19.9945    0.0000
    2   19  -15.7661  -35.7606   19.9945    0.0000
    2   20  -15.7661  -35.7606   19.9945    0.0000
    2   21  -16.8209  -37.6478   20.8269    0.0000
    2   22  -16.3295  -42.9244   26.5950    0.0000
    2   23  -14.0542  -43.0508   28.9965    0.0000
    2   24  -12.2330  -42.6992   30.4662    0.0000
    2   25  -12.2330  -42.6992   30.4662    0.0000
    2   26  -12.9818  -42.5623   29.5805    0.0000
    2   27  -18.2867  -41.3351   23.0484    0.0000
    2   28  -19.7961  -43.5001   23.7040    0.0000
    2   29  -20.5289  -43.4144   22.8854    0.0000
    2   30  -20.5289  -43.4144   22.8854    0.0000
    2   31  -20.9119  -40.8285   19.9165    0.0000
    2   32  -17.7529  -36.9434   19.1905    0.0000
    2   33  -17.4723  -38.5147   21.0424    0.0000
